TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,New This Day,Estimated,date
1,1,Hoppers,"$12,945,148",-31.4%,-,4000,"$3,236","$45,349,801",3,Walt Disney Studios Motion Pictures,False,False,2026-03-08
25,25,Uma Musume: Pretty Derby - Beginning of a New Era,"$30,792",-14.2%,-85.1%,240,$128,"$1,225,612",10,Gaga,False,True,2026-03-08
26,26,The Secret Agent,"$28,593",-8.6%,+67.4%,120,$238,"$4,082,312",103,Neon,False,False,2026-03-08
27,28,Kokuho,"$18,976",-5.4%,-60.3%,41,$462,"$1,022,947",115,GKIDS,False,False,2026-03-08
28,27,Sentimental Value,"$17,246",-31.3%,+43.5%,120,$143,"$5,153,045",122,Neon,False,False,2026-03-08
29,30,The President's Cake,"$9,645",-13.5%,-46.5%,25,$385,"$182,034",31,Sony Pictures Classics,False,False,2026-03-08
30,31,One Battle After Another,"$7,177",-34%,+10%,500,$14,"$72,257,494",164,Warner Bros.,False,False,2026-03-08
31,29,A Private Life,"$6,916",-44.8%,-45.3%,29,$238,"$1,362,573",52,Sony Pictures Classics,False,False,2026-03-08
33,34,Hypnosismic -Division Rap Battle- Interactive Movie,"$5,323",-11.8%,-60.5%,15,$354,"$100,923",10,GKIDS,False,False,2026-03-08
24,24,"Good Luck, Have Fun, Don't Die","$48,186",-36.9%,-71.6%,215,$224,"$8,231,238",24,Briarcliff Entertainment,False,False,2026-03-08
34,33,A Poet,"$4,287",-44.7%,-16.7%,28,$153,"$236,518",38,-,False,False,2026-03-08
36,36,Psycho Killer,"$1,969",-41.2%,-97.9%,80,$24,"$2,551,903",17,20th Century Studios,False,False,2026-03-08
37,39,My Father's Shadow,"$1,909",-14.3%,-30.9%,7,$272,"$96,429",24,MUBI,False,False,2026-03-08
38,41,Little Amélie or the Character of Rain,"$1,901",+57.6%,+91.1%,7,$271,"$187,549",129,GKIDS,False,False,2026-03-08
